"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"1674","Rubber Nursery Worker – General","6112.0802","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Tree and Shrub Crop Growers"
"1675","Tree and Shrub Crop Growers, Other","6112.9900","6112.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Tree and Shrub Crop Growers"
"1676","Planter","6113.0100","6113.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1677","Nurseryman","6113.0200","6113.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1678","Gardener, General","6113.0301","6113.30","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1679","Groundsman","6113.0400","6113.40","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1680","Greenhouse Fitter","6113.0501","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1681","Floriculturist – (Open Cultivation)","6113.0601","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1682","Floriculturist – (Protected Cultivation)","6113.0602","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1683","Nursery Workers and Gardeners, Other","6113.9900","6113.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Gardeners, Horticultural and Nursery Growers"
"1684","Mixed Crop Growers, Other","6114.9900","6114.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Mixed Crop Growers"
"1685","Agriculture Extension Executive","6116.0101","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Agriculture Information Management"
"1686","Agriculture Extension Service Provider","6116.0102","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Agriculture Information Management"
"1687","Community Service Provider","6116.0112","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Market Gardeners & Crop Growers","Agriculture Information Management"
"1688","Livestock Workers/Other Livestock Workers","6121.0500","6121.30","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1689","Dairy Farm Worker, General/Dairy Worker","6121.0601","6121.35","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1690","Milker","6121.0700","6121.40","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1691","Milker, Machine","6121.0800","6121.45","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1692","Stableman","6121.1000","6121.55","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1693","Elephant Keeper","6121.1100","6121.60","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1694","Shearer, Sheep","6121.1200","6121.65","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1695","Shearer, Animal, Other/Shearer, Other Animals","6121.1300","6121.70","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1696","Grass Cutter","6121.1400","6121.75","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1697","Dairy and Livestock Producers, Other","6121.9900","6121.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1698","Farmer, Livestock","6121.10","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1699","Farmer, Dairy/Dairy Farmer/Entrepreneur","6121.0201","6121.15","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1700","Livestock Worker, General","6121.0300","6121.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1701","Herdsman","6121.0400","6121.25","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Livestock and Dairy Producers"
"1702","Farmer, Poultry/Broiler Farm Supervisor","6122.0101","6122.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Poultry Producers"
"1703","Farmer, Poultry Breeding","6122.0200","6122.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Poultry Producers"
"1704","Poultry Farm Worker, General/Broiler Farm Worker","6122.0301","6122.30","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Poultry Producers"
"1705","Hatchery Operator/Hatchery In-Charge","6122.0401","6122.40","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Poultry Producers"
"1706","Poultry Farm Workers, Other","6122.9900","6122.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Poultry Producers"
"1707","Rearer, Silkworm/ Sericulturist","6123.0201","6123.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Apiarists and Sericulturists"
"1708","Apiarists and Sericulturists, Other","6123.9900","6123.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Apiarists and Sericulturists"
"1709","Beekeeper","6123.0101","6123.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Apiarists and Sericulturists"
"1710","Farmer, Fur-Bearing Animals","6129.0100","6129.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Animal Producers Not Elsewhere Classified"
"1711","Mixed Animal Producers","6129.0200","6124","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Animal Producers Not Elsewhere Classified"
"1712","Animal Producers and Related Workers, Other","6129.9900","6129.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Animal Producers","Animal Producers Not Elsewhere Classified"
"1713","Artificial Breeding Technician","6130.0100","6130.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Mixed Crop and Animal Workers","Mixed Crop and Animal Workers"
"1714","Seed Grower/Quality Seed Grower","6130.0201","6112.60","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Mixed Crop and Animal Workers","Mixed Crop and Animal Workers"
"1715","Seed Processing Worker","6130.0202","","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Mixed Crop and Animal Workers","Mixed Crop and Animal Workers"
"1716","Mixed Crop and Animal Workers, Other","6130.9900","6130.90","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Mixed Crop and Animal Workers","Mixed Crop and Animal Workers"
"1717","Gatherer, Firewood","6210.0700","6141.40","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1718","Cane Cutter","6210.0800","6141.45","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1719","Thatch Cutter","6210.0900","6141.50","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1720","Log Feller","6210.1000","6141.55","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1721","Wood Cutter","6210.1100","6141.60","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1722","Marker, Log","6210.1200","6141.65","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1723","Sandalwood Extractor","6210.1300","6141.70","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1724","Estimator, Timber","6210.1400","6141.75","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1725","Log Driver","6210.1600","6141.85","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1726","Forester","6210.0100","6141.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1727","Charcoal Burner, Wood","6210.1700","6142.10","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1728","Forest Guard","6210.0200","6141.15","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1729","Digester Operator, Wood","6210.1800","6142.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
"1730","Forest Fire Watcher","6210.0300","6141.20","Skilled Agricultural, Forestry and Fishery Workers","Market-Oriented Skilled Agricultural Workers","Forestry and Related Workers","Forestry and Related Workers"
